t,x,x_dot,theta,theta_dot,u,disturbance,mode,controller,scenario,suite,seed
0.0,0.05,0.0,0.13962634015954656,0.0,0.0,0.0,initial,Feedback Linearization (PFL),friction_and_damping,stress,27
0.01,0.050012565073341245,0.0025098979883984023,0.13978745823444338,0.032190436560743343,-0.01745098174837271,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.02,0.05005007204060288,0.004989352770418811,0.1402694655792951,0.06419032915738734,-0.018924710672015926,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.03,0.050112246427681056,0.0074443420027811395,0.14107083110057772,0.0960743933822742,-0.020380704787679907,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.04,0.05019887287352391,0.009880711291734439,0.14219076600170455,0.12791639705729407,-0.021824052547871467,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.05,0.050309793843271555,0.012304180873841442,0.14362921504936788,0.15978930849033396,-0.02325955217012825,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.060000000000000005,0.050444908404509894,0.014720351526377282,0.14538684930163237,0.19176544051134306,-0.0246917511144747,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.06999999999999999,0.0506041710583156,0.017134709583767966,0.14746506025448092,0.22391659006877893,-0.026124979012873407,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.08,0.050787590615507375,0.019552630930559135,0.14986595536123914,0.25631417314716554,-0.02756337458610372,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.09,0.05099522910718513,0.021979383833102765,0.1525923548767647,0.28902935473676816,-0.029010906929871697,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.09999999999999999,0.051227200717210965,0.024420130461587652,0.15564778997541895,0.3221331735473721,-0.030471391400193656,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.11,0.051483670722741404,0.02687992694131801,0.1590365020885267,0.3556966611101731,-0.031948500174616555,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.12,0.05176485442723863,0.029363721757362772,0.16276344340319548,0.3897909548551323,-0.033445767406770674,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.13,0.05207101606854888,0.0318763523199692,0.16683427845992105,0.42448740468608637,-0.034966588722781106,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.14,0.052402467682620475,0.03442253947959791,0.17125538678128027,0.4598576725027557,-0.03651421462462924,0.0,energy_pump,Feedback Linearization (PFL),friction_and_damping,stress,27
0.15000000000000002,0.05220975343589664,-0.07291047646528459,0.17495257370940998,0.2800097633228069,-11.107935749703058,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.16,0.05095831784054929,-0.17733231317196926,0.17688894534753352,0.10759852608090356,-10.844976696303439,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.17,0.04870262482596996,-0.2737735887976121,0.17718645870446048,-0.04786465639620571,-10.065161900576223,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.18000000000000002,0.04555639337728093,-0.355452089640197,0.1760789247030714,-0.17351679965268033,-8.595696024894748,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.19,0.04165503405181488,-0.4248082735323919,0.17383814402363296,-0.2745967381009065,-7.365514083630782,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.2,0.03711168591141734,-0.48385675101524594,0.17068821994608774,-0.3554102793463486,-6.333376463801557,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.21000000000000002,0.032021088082713665,-0.53426346958764,0.16681401442994437,-0.41950383635037436,-5.465361031768001,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.22,0.026462753847925912,-0.5774080690499684,0.16236804258619797,-0.4698033904809804,-4.733499567678498,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.23,0.020503580109222555,-0.6144344903625824,0.15747611441898401,-0.5087262980378835,-4.114689696900307,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.24000000000000002,0.014199997685709783,-0.646292230927354,0.15224196620807362,-0.5382717298015459,-3.5898206889093807,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
0.25,0.00759974663531716,-0.6737701074609983,0.1467510727235064,-0.5600941973394257,-3.143066572608655,0.0,balance,Feedback Linearization (PFL),friction_and_damping,stress,27
