t,x,x_dot,theta,theta_dot,u,disturbance,mode,controller,scenario,suite,seed
0.0,0.05,0.0,0.13962634015954656,0.0,0.0,0.0,initial,LQR,measurement_noise,stress,21
0.01,0.050011132894961556,0.0022259322738960876,0.13978483800209185,0.03169283429575956,-0.04670288350155642,0.0,energy_pump,LQR,measurement_noise,stress,21
0.02,0.05004656436122632,0.004860621408314855,0.1402642396657643,0.06419264189077621,-0.005551533274472949,0.0,energy_pump,LQR,measurement_noise,stress,21
0.03,0.050106942217801355,0.007216191005482509,0.14106611102959432,0.09619929241239225,-0.03402590121074021,0.0,energy_pump,LQR,measurement_noise,stress,21
0.04,0.05019339319301258,0.010076139331997249,0.14219359006756038,0.12932604903518327,0.015595551928285857,0.0,energy_pump,LQR,measurement_noise,stress,21
0.05,0.050305168055778324,0.01228199449608419,0.1436467207357932,0.16134255406539963,-0.05167367907010742,0.0,energy_pump,LQR,measurement_noise,stress,21
0.060000000000000005,0.05044011713612697,0.014711886042160647,0.1454234123281255,0.19405019545294205,-0.031354241472037046,0.0,energy_pump,LQR,measurement_noise,stress,21
0.06999999999999999,0.05059899146771277,0.017067987908930212,0.14752793731898306,0.22692160004582423,-0.041497362308880015,0.0,energy_pump,LQR,measurement_noise,stress,21
0.08,0.050781934935208675,0.019526629628056992,0.14996399219056178,0.26036843461111814,-0.03449230248069307,0.0,energy_pump,LQR,measurement_noise,stress,21
0.09,0.05098915093860821,0.021923432954338438,0.1527360214557163,0.29412901754739956,-0.04455656120313829,0.0,energy_pump,LQR,measurement_noise,stress,21
0.09999999999999999,0.051221863455128226,0.024626814766511847,0.15585112361040432,0.32899533077987697,-0.018157913508567547,0.0,energy_pump,LQR,measurement_noise,stress,21
0.11,0.05148015910717632,0.027041033698723748,0.1593147928468639,0.3638555521192903,-0.05217644253773989,0.0,energy_pump,LQR,measurement_noise,stress,21
0.12,0.0517640198838966,0.029740709681106182,0.16313297602223198,0.3999106920825185,-0.029005486348282282,0.0,energy_pump,LQR,measurement_noise,stress,21
0.13,0.052074944111312395,0.03245463963710981,0.16731527528048096,0.4366919154019885,-0.03363155316808893,0.0,energy_pump,LQR,measurement_noise,stress,21
0.14,0.05241434248879343,0.035436402284056784,0.17187179274456987,0.4747674085470609,-0.01329630388243793,0.0,energy_pump,LQR,measurement_noise,stress,21
0.15000000000000002,0.052039194096102845,-0.11043161398730103,0.17534748456992855,0.2206648022372747,-15.0,0.0,balance,LQR,measurement_noise,stress,21
0.16,0.050206244044541146,-0.25613949659538154,0.17628962304589724,-0.032077226245634916,-15.0,0.0,balance,LQR,measurement_noise,stress,21
0.17,0.046996732197836635,-0.3857596360273089,0.17486546217054588,-0.25273158272444557,-13.387862341063853,0.0,balance,LQR,measurement_noise,stress,21
0.18000000000000002,0.04263545362747492,-0.48650447630768895,0.1715187711397852,-0.41669567174754585,-10.48106392363176,0.0,balance,LQR,measurement_noise,stress,21
0.19,0.037297258323121876,-0.581150693642712,0.16658980083407204,-0.5692643424763482,-9.860201764886241,0.0,balance,LQR,measurement_noise,stress,21
0.2,0.031136679845197142,-0.6509861253620366,0.16037524161475414,-0.6738783913478464,-7.354099324647381,0.0,balance,LQR,measurement_noise,stress,21
0.21000000000000002,0.024221693772791247,-0.7320373610825067,0.15299784450619835,-0.8018796830102217,-8.467159877434067,0.0,balance,LQR,measurement_noise,stress,21
0.22,0.01659346601903018,-0.7936373697822667,0.144525438663766,-0.8929286675666656,-6.496190722578277,0.0,balance,LQR,measurement_noise,stress,21
0.23,0.008485742553919994,-0.8279366897037754,0.1354043011616759,-0.9316540297353638,-3.737062564269511,0.0,balance,LQR,measurement_noise,stress,21
0.24000000000000002,1.45337289289664e-05,-0.8663359774549645,0.12584627359450362,-0.9803224140604864,-4.130423109312364,0.0,balance,LQR,measurement_noise,stress,21
0.25,-0.00877981291411514,-0.8925645270412313,0.11591285846842325,-1.0067466842619321,-2.8908026153928272,0.0,balance,LQR,measurement_noise,stress,21
0.26,-0.017823746825257298,-0.9162539576739387,0.10573062187192894,-1.0300957379860287,-2.6172959108478686,0.0,balance,LQR,measurement_noise,stress,21
0.27,-0.027011897541451668,-0.9214072918687317,0.09548915914435474,-1.018597572783845,-0.7406381550053105,0.0,balance,LQR,measurement_noise,stress,21
0.28,-0.036194806846100595,-0.9152049940222604,0.08546556639509895,-0.9865168965727966,0.41549920814680696,0.0,balance,LQR,measurement_noise,stress,21
0.29000000000000004,-0.045337949916156646,-0.9134536256628725,0.07570848650829953,-0.9652836014521838,-0.012098297956935511,0.0,balance,LQR,measurement_noise,stress,21
0.3,-0.054430787416234715,-0.9051433801366126,0.06621944997927587,-0.9329010722932213,0.6624227784177279,0.0,balance,LQR,measurement_noise,stress,21
0.31,-0.06345575199035161,-0.8998784027597873,0.05701440811921055,-0.9084725693285318,0.37514718708164807,0.0,balance,LQR,measurement_noise,stress,21
0.32,-0.07247839527894226,-0.9046785203968337,0.047944045565778914,-0.9059542448133473,-0.6148913283529307,0.0,balance,LQR,measurement_noise,stress,21
0.33,-0.08142113242191587,-0.8838976451179942,0.03914537234499571,-0.8541399446790036,1.961543433523115,0.0,balance,LQR,measurement_noise,stress,21
0.34,-0.09015340465896876,-0.8625843750210966,0.0308612525821248,-0.8030248840722878,2.0316969153012003,0.0,balance,LQR,measurement_noise,stress,21
0.35000000000000003,-0.09876279274617107,-0.8593188068018662,0.02289954294977159,-0.789632690269248,0.24248095950342474,0.0,balance,LQR,measurement_noise,stress,21
0.36000000000000004,-0.1072925358363552,-0.8466555013088011,0.015157779159127749,-0.7590341808372526,1.1977504105947876,0.0,balance,LQR,measurement_noise,stress,21
0.37,-0.11560954483281996,-0.816772197226856,0.007886322165342463,-0.6955671532294966,2.935347860636025,0.0,balance,LQR,measurement_noise,stress,21
0.38,-0.12373647394322321,-0.8086363795827269,0.001024605312875515,-0.6770522380889402,0.7751078551074428,0.0,balance,LQR,measurement_noise,stress,21
0.39,-0.13177014204639198,-0.7981196328107776,-0.005635019987610956,-0.6551427782608865,1.0267472189582971,0.0,balance,LQR,measurement_noise,stress,21
0.4,-0.13970259962987985,-0.7883935763068511,-0.012090140572938779,-0.636142359986721,0.9608967751998598,0.0,balance,LQR,measurement_noise,stress,21
0.41000000000000003,-0.1474819533092442,-0.767499194437641,-0.01825010131105298,-0.5961093026631898,2.0909087790277674,0.0,balance,LQR,measurement_noise,stress,21
0.42000000000000004,-0.15506476545304135,-0.7490838635117387,-0.02404084841629528,-0.5622827539013187,1.855776480069288,0.0,balance,LQR,measurement_noise,stress,21
0.43,-0.16245840174903348,-0.7296630800193595,-0.029489221382795527,-0.5276218318010119,1.9684283698676435,0.0,balance,LQR,measurement_noise,stress,21
0.44,-0.16972668872215604,-0.7240116796737922,-0.034734168504105156,-0.5215760934007858,0.6023220610202698,0.0,balance,LQR,measurement_noise,stress,21
0.45,-0.17688491304027873,-0.7076513391133429,-0.0398168763911273,-0.49517772900089496,1.6841620545764409,0.0,balance,LQR,measurement_noise,stress,21
0.46,-0.18388243602110238,-0.6918705181512267,-0.04464658618352901,-0.470965691228548,1.6368146660235192,0.0,balance,LQR,measurement_noise,stress,21
0.47000000000000003,-0.19073634549597113,-0.6789275860107518,-0.049267447262913766,-0.4533966686176324,1.3629454603525604,0.0,balance,LQR,measurement_noise,stress,21
0.48000000000000004,-0.197484523187916,-0.6707231215818634,-0.053764600675211494,-0.4462142318175699,0.8982688487285868,0.0,balance,LQR,measurement_noise,stress,21
0.49,-0.20410167666160947,-0.652723470508426,-0.05809664022910921,-0.4203769592558585,1.8877064223567226,0.0,balance,LQR,measurement_noise,stress,21
0.5,-0.21050808985779768,-0.6285748267434879,-0.06211341737268583,-0.38315522418148446,2.512510568335463,0.0,balance,LQR,measurement_noise,stress,21
0.51,-0.21666258723770118,-0.6023392717087311,-0.06574141003871281,-0.34260646301696435,2.7304578891134916,0.0,balance,LQR,measurement_noise,stress,21
0.52,-0.22255011622698762,-0.5751798701823323,-0.06895859700975349,-0.300978388632548,2.831319967639936,0.0,balance,LQR,measurement_noise,stress,21
0.53,-0.22816230822843833,-0.5472705265324079,-0.07175552388315243,-0.25853815636366695,2.913994869114629,0.0,balance,LQR,measurement_noise,stress,21
0.54,-0.2334812468640527,-0.5165279896826217,-0.07410289128652892,-0.21105100762712006,3.2044560744874038,0.0,balance,LQR,measurement_noise,stress,21
0.55,-0.23854061117869776,-0.49535320401816135,-0.07607343888124873,-0.1831497440016492,2.2523378843965647,0.0,balance,LQR,measurement_noise,stress,21
0.56,-0.24342992272234865,-0.48251578623886987,-0.0778502219912589,-0.1722823513043519,1.4221165348943234,0.0,balance,LQR,measurement_noise,stress,21
0.5700000000000001,-0.24818911521008324,-0.4693290553307749,-0.07951668131837852,-0.16108081044752126,1.461002191777332,0.0,balance,LQR,measurement_noise,stress,21
0.5800000000000001,-0.25281974063598434,-0.45680194121599615,-0.08107942261272649,-0.15153388805236218,1.3986349331343,0.0,balance,LQR,measurement_noise,stress,21
0.59,-0.25731662150145246,-0.44257996037027686,-0.08253141975232081,-0.13892905635866942,1.5718448710342594,0.0,balance,LQR,measurement_noise,stress,21
0.6,-0.26163530040542254,-0.4211617005025145,-0.08378720808879159,-0.11229089088680227,2.2959617466070728,0.0,balance,LQR,measurement_noise,stress,21
0.61,-0.265795820721354,-0.4109464601697457,-0.08488963771796465,-0.10824079646744958,1.1770484162922448,0.0,balance,LQR,measurement_noise,stress,21
0.62,-0.2698086961378584,-0.3916332895111448,-0.08586207096428833,-0.08629469457189509,2.0908124231273755,0.0,balance,LQR,measurement_noise,stress,21
0.63,-0.27366344820564537,-0.3793205184990684,-0.08668587808472994,-0.07850322704959282,1.3921396451631058,0.0,balance,LQR,measurement_noise,stress,21
0.64,-0.27746400415979067,-0.3807927495965828,-0.08756990956003818,-0.09832936025312199,0.013172401699143022,0.0,balance,LQR,measurement_noise,stress,21
0.65,-0.28120614303271196,-0.3676388756781522,-0.08850729024599246,-0.08918839860645666,1.4798477305879043,0.0,balance,LQR,measurement_noise,stress,21
0.66,-0.28481218716396184,-0.353573563883997,-0.08934517741344727,-0.07842746726145723,1.5733788600014171,0.0,balance,LQR,measurement_noise,stress,21
0.67,-0.2882193517110502,-0.32786345345408213,-0.08996042826168615,-0.04466266138741528,2.7420730130204474,0.0,balance,LQR,measurement_noise,stress,21
0.68,-0.2914276944886427,-0.3138072276783848,-0.09035489890816661,-0.034252190051926056,1.576634498381619,0.0,balance,LQR,measurement_noise,stress,21
0.6900000000000001,-0.2945015657636994,-0.3009687200818112,-0.09065785038986185,-0.02635409746518042,1.4558072081336781,0.0,balance,LQR,measurement_noise,stress,21
0.7000000000000001,-0.2974617053481255,-0.2910604235431234,-0.09091134477124818,-0.024356221336571383,1.1631729916538873,0.0,balance,LQR,measurement_noise,stress,21
0.7100000000000001,-0.3002547754882666,-0.2675556873504551,-0.09100978083690459,0.004651907977354357,2.526099242589834,0.0,balance,LQR,measurement_noise,stress,21
0.72,-0.302909897638324,-0.26346856361347104,-0.09101172577624661,-0.005037371215206173,0.5816363931514433,0.0,balance,LQR,measurement_noise,stress,21
0.73,-0.3054810551767446,-0.25076365768502484,-0.09102471342450125,0.0024354996479436725,1.4450269968241933,0.0,balance,LQR,measurement_noise,stress,21
0.74,-0.30790961330002614,-0.23494863591218315,-0.09093207879783005,0.016088601027164844,1.7569783519337807,0.0,balance,LQR,measurement_noise,stress,21
0.75,-0.3102033929078173,-0.22380719968680068,-0.09074943994598828,0.020443898196704127,1.2890083668807926,0.0,balance,LQR,measurement_noise,stress,21
0.76,-0.31238543920508516,-0.21260183505934646,-0.09052246218872684,0.02495806501898322,1.295318620724516,0.0,balance,LQR,measurement_noise,stress,21
0.77,-0.31448961393211283,-0.20823229970016865,-0.09031819964266408,0.01590575829720185,0.6102853929866354,0.0,balance,LQR,measurement_noise,stress,21
0.78,-0.3165026175282748,-0.19436851584182754,-0.09010968148777998,0.025801259237264444,1.5610715317959607,0.0,balance,LQR,measurement_noise,stress,21
0.79,-0.31844547564775727,-0.19420199714792338,-0.08993842981552103,0.008462650133628569,0.18877786488614245,0.0,balance,LQR,measurement_noise,stress,21
0.8,-0.3202840113855314,-0.173505931326295,-0.08973589762764611,0.0320410902915177,2.2450135814925907,0.0,balance,LQR,measurement_noise,stress,21
0.81,-0.3219262556173578,-0.15494276455797984,-0.08931877900309892,0.051390299278476645,2.031562796375512,0.0,balance,LQR,measurement_noise,stress,21
0.8200000000000001,-0.3234370320491491,-0.14721107164537467,-0.0888157268855787,0.0492402332513297,0.946174516298031,0.0,balance,LQR,measurement_noise,stress,21
0.8300000000000001,-0.3248009404359377,-0.1255700567836511,-0.08819517959559553,0.07488237787073186,2.3387421386988043,0.0,balance,LQR,measurement_noise,stress,21
0.8400000000000001,-0.3260252329240093,-0.11928614457987208,-0.08747068245016765,0.07004697623120278,0.7997424426282624,0.0,balance,LQR,measurement_noise,stress,21
0.85,-0.327191987970586,-0.11406266359625743,-0.08680435291851252,0.06324739505120036,0.6921833870100589,0.0,balance,LQR,measurement_noise,stress,21
0.86,-0.3282636519284372,-0.10026865670666096,-0.08611997104482194,0.07365101308300055,1.5494495011859502,0.0,balance,LQR,measurement_noise,stress,21
0.87,-0.3291307575232255,-0.07315139094169971,-0.08519826660983698,0.11071039606889338,2.883029982152692,0.0,balance,LQR,measurement_noise,stress,21
0.88,-0.3298330174765433,-0.06729712597109462,-0.08411707689959647,0.1055715961528344,0.7522123669435474,0.0,balance,LQR,measurement_noise,stress,21
0.89,-0.33053848252460855,-0.07379187272489754,-0.08320917934934613,0.07605517811214775,-0.48671769157060707,0.0,balance,LQR,measurement_noise,stress,21
0.9,-0.3312510801307421,-0.06872525338001867,-0.08248019035221965,0.06977335301360908,0.66912794314938,0.0,balance,LQR,measurement_noise,stress,21
0.91,-0.331923371977627,-0.0657308007355333,-0.08183390240970301,0.05951339177692023,0.4602089877453057,0.0,balance,LQR,measurement_noise,stress,21
0.92,-0.33254369419023033,-0.058331926372209304,-0.08124563046353162,0.058164161380149335,0.9000435617752418,0.0,balance,LQR,measurement_noise,stress,21
0.93,-0.33298570090230395,-0.03006896843829352,-0.08046239871021355,0.09849575856405367,2.988623042519933,0.0,balance,LQR,measurement_noise,stress,21
0.9400000000000001,-0.3331798813521667,-0.008764906554261324,-0.07934468509956938,0.1250795862161369,2.291009280367142,0.0,balance,LQR,measurement_noise,stress,21
0.9500000000000001,-0.3332227505534707,0.00019482772754370395,-0.07808321224256565,0.1272631832657036,1.0531888677288916,0.0,balance,LQR,measurement_noise,stress,21
