t,x,x_dot,theta,theta_dot,u,disturbance,mode,controller,scenario,suite,seed
0.0,0.05,0.0,0.13962634015954656,0.0,0.0,0.0,initial,LQR,parameter_mismatch,stress,28
0.01,0.05001004768332864,0.0020090776541266202,0.1397659462572416,0.027916186632684605,-0.01745098174837271,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.02,0.05004012935995198,0.0040074653490927625,0.14018456782124789,0.05581232273375983,-0.01856761169137651,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.03,0.05009015854529791,0.005999243539812484,0.14088228173315853,0.0837438653512652,-0.019674286474746405,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.04,0.05016008938101978,0.007988457337773442,0.1418597188048598,0.1117661586758899,-0.02077338248449993,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.05,0.05024991629481833,0.00997911912699292,0.14311806311082087,0.1399345260596261,-0.021867188015669285,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.060000000000000005,0.05035967368518141,0.011975210914272134,0.14465905223568676,0.16830436102655247,-0.022957903786200308,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.06999999999999999,0.05048943562793163,0.0139806863224785,0.14648497842627917,0.1969312171104179,-0.024047641788658487,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.08,0.05063931560054288,0.015999472132063205,0.14859869063538866,0.22587089633949772,-0.025138422333780584,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.09,0.050809466219215164,0.01803546927092498,0.15100359744286207,0.25517953616945255,-0.02623216910068732,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.09999999999999999,0.05100007898266656,0.020092553146064694,0.15370367083736358,0.28491369463957494,-0.027330701963216245,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.11,0.05121138401549597,0.022174573202234822,0.15670345083979997,0.3151304334967549,-0.02843572730923867,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.12,0.05144364980277529,0.024285351582963043,0.16000805094666282,0.34588739899459825,-0.0295488255087257,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.13,0.05169718290622789,0.026428680757910026,0.16362316436840363,0.37724290003223737,-0.030671435115135384,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.14,0.051972327650927096,0.028608319967501305,0.16755507103436917,0.4092559832483175,-0.03180483330163894,0.0,energy_pump,LQR,parameter_mismatch,stress,28
0.15000000000000002,0.05160443885307803,-0.10216269037253152,0.17064048960331624,0.2080373852359344,-15.0,0.0,balance,LQR,parameter_mismatch,stress,28
0.16,0.04992944891736359,-0.23282118756230502,0.17171913510192205,0.007813885169160761,-15.0,0.0,balance,LQR,parameter_mismatch,stress,28
0.17,0.04700656656717445,-0.35175071695797855,0.17090098112887642,-0.17141217382079801,-13.68641557146562,0.0,balance,LQR,parameter_mismatch,stress,28
0.18000000000000002,0.0429644657016561,-0.4566726774921449,0.16841395431059736,-0.3260378762901512,-12.110638131308647,0.0,balance,LQR,parameter_mismatch,stress,28
0.19,0.03793724565737167,-0.5487804659863225,0.1644917972504336,-0.4585012579876204,-10.664723728666171,0.0,balance,LQR,parameter_mismatch,stress,28
0.2,0.03204758747234017,-0.6291647057079295,0.15934510569518423,-0.5709958534641917,-9.33831580951972,0.0,balance,LQR,parameter_mismatch,stress,28
0.21000000000000002,0.02540771551041194,-0.6988264322501384,0.15316360206166735,-0.6655047517021392,-8.122270134573998,0.0,balance,LQR,parameter_mismatch,stress,28
0.22,0.018120239558411834,-0.7586878027425347,0.14611809812819176,-0.7438286831218084,-7.0084149378242415,0.0,balance,LQR,parameter_mismatch,stress,28
0.23,0.010278900271224828,-0.8096007148161738,0.13836220288406498,-0.8076089050233024,-5.98935704151074,0.0,balance,LQR,parameter_mismatch,stress,28
0.24000000000000002,0.0019692369599458373,-0.8523537214455311,0.13003382349356984,-0.8583457129996389,-5.058329730591554,0.0,balance,LQR,parameter_mismatch,stress,28
0.25,-0.006730807003603534,-0.8876775977320899,0.12125649914540482,-0.897413379939175,-4.209076751671697,0.0,balance,LQR,parameter_mismatch,stress,28
0.26,-0.015750329237547107,-0.916249871167937,0.11214059987877745,-0.9260722520282013,-3.435766369597509,0.0,balance,LQR,parameter_mismatch,stress,28
0.27,-0.02502495479812768,-0.9386985771369633,0.10278441563906071,-0.9454786369691484,-2.732929574554147,0.0,balance,LQR,parameter_mismatch,stress,28
0.28,-0.03449635734026845,-0.955605451887698,0.09327515496149896,-0.9566930182808128,-2.0954170277002664,0.0,balance,LQR,parameter_mismatch,stress,28
0.29000000000000004,-0.04411181019901139,-0.9675087291610734,0.0836898678349538,-0.9606870301178012,-1.5183700028551996,0.0,balance,LQR,parameter_mismatch,stress,28
0.3,-0.053823764058813735,-0.974905665833471,0.074096303411336,-0.9583495349884946,-0.9972013213147939,0.0,balance,LQR,parameter_mismatch,stress,28
0.31,-0.06358944895757887,-0.9782548871398493,0.06455371021019696,-0.950492065138827,-0.5275830181664478,0.0,balance,LQR,parameter_mismatch,stress,28
0.32,-0.07337049913484993,-0.9779786134364001,0.05511358420963264,-0.9378538186514139,-0.10543817702793845,0.0,balance,LQR,parameter_mismatch,stress,28
