t,x,x_dot,theta,theta_dot,u,disturbance,mode,controller,scenario,suite,seed
0.0,0.0,0.0,0.43633231299858233,0.0,0.0,0.0,initial,LQR,large_angle_recovery,stress,25
0.01,-0.0006877936706088425,-0.13755583648157704,0.43550054652686043,-0.16633331091534964,-15.0,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.02,-0.002751186309328424,-0.2751325240886815,0.4330049995984635,-0.3328605690303003,-15.0,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.03,-0.006190767565356219,-0.412806228506859,0.4288406029133718,-0.5002074387117292,-15.0,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.04,-0.01086628367989751,-0.5223249313049305,0.42325369779212396,-0.6174360759039571,-12.071205196618815,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.05,-0.016505034042524645,-0.6054527890410367,0.41672838384564415,-0.6879223173279958,-9.325653318922239,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.060000000000000005,-0.022883154866552506,-0.6701971319601358,0.4096587548697648,-0.7263108975728741,-7.410427438565764,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.06999999999999999,-0.02984447554331246,-0.7220906859670431,0.4023152180919123,-0.7427053427773753,-6.069230426594899,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.08,-0.03727953958630435,-0.764944002044634,0.394882938095797,-0.744055777416989,-5.12337840865588,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.09,-0.045111057037118846,-0.8013799085089505,0.3874884653198092,-0.7351373346087638,-4.4495663285635025,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.09999999999999999,-0.05328389119827728,-0.8332061765197689,0.38021807866725954,-0.7192303787740296,-3.9631914565656476,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.11,-0.061758193301308766,-0.861672541743394,0.3731303850900405,-0.6985895535703395,-3.606367119509218,0.0,capture_assist,LQR,large_angle_recovery,stress,25
0.12,-0.07050470292387206,-0.88764686725773,0.3662649656229262,-0.6747657453005284,-3.339518258795545,0.0,capture_assist,LQR,large_angle_recovery,stress,25
