t,x,x_dot,theta,theta_dot,u,disturbance,mode,controller,scenario,suite,seed
0.0,0.05,0.0,0.13962634015954656,0.0,0.0,0.0,initial,Sliding Mode Control (SMC),measurement_noise,stress,25
0.01,0.05000332808224585,0.0006650814807823034,0.1397693881453459,0.028603626181508603,-0.20343044449624906,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.02,0.050013187154234695,0.001307055402198309,0.14019818055713262,0.0571598448325043,-0.20568663977491808,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.03,0.05002590337597551,0.0012374215263784723,0.14090570649769996,0.08436162630719068,-0.27759587872858676,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.04,0.0500447883069702,0.002541489232997256,0.14189933991333525,0.1143909647873928,-0.14063115620639804,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.05,0.05007630077075192,0.003763819244304885,0.1431932086860206,0.1444201620834955,-0.1502657004269803,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.060000000000000005,0.0501206139941943,0.00510250707947446,0.14478956214283611,0.17489921901193864,-0.1405393417857417,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.06999999999999999,0.05017745709334279,0.006270694269584453,0.14669035068546954,0.20531881082932385,-0.1601499859169927,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.08,0.050246880542691684,0.007619428482509648,0.14889874642719603,0.23643200248832388,-0.14503460248590894,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.09,0.05032984290802219,0.008979355350633251,0.15142030251124217,0.26796254916874324,-0.14744868360619498,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.09999999999999999,0.05042820028826768,0.010699263814250912,0.1542629377974345,0.30065936243442903,-0.11533997353980807,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.11,0.05054264123105197,0.012196990488239539,0.15743286348868635,0.33343295504683634,-0.14224740837207026,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.12,0.05066857809959071,0.012999426348627269,0.16092649376891277,0.36541296318580513,-0.21727739761973494,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.13,0.05080245582603998,0.013786005921246017,0.16474291993441792,0.39800391978502403,-0.2245787999267403,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.14,0.05094487210070417,0.014707950839445115,0.16889004805672014,0.43156515991699695,-0.21717839046569407,0.0,energy_pump,Sliding Mode Control (SMC),measurement_noise,stress,25
0.15000000000000002,0.050362091624719364,-0.13123233268037923,0.17192966571058177,0.17662899283335642,-15.0,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.16,0.04832070433562941,-0.2770289547030052,0.17242669748327,-0.07708597819179402,-15.0,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.17,0.04511949053963824,-0.36321345228823754,0.1709758944993629,-0.21308243742835764,-9.008215851312407,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.18000000000000002,0.04114532467800314,-0.43162567841572874,0.1683395005000876,-0.3142695007215908,-7.218899781274203,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.19,0.03642732466418057,-0.5119849243402613,0.16457133026397486,-0.4394819585494598,-8.415376694555897,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.2,0.030998561307913623,-0.5737829787188191,0.1597307941619901,-0.5287978786016307,-6.541400263539759,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.21000000000000002,0.025064075248830812,-0.6131317468594004,0.15421412430644166,-0.5747448920393226,-4.275143337343245,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.22,0.0188826161290497,-0.6231777270563938,0.14852210010385392,-0.5638853779786283,-1.3203470863462212,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.23,0.012502382080281638,-0.6528872980953616,0.14273857165002068,-0.5930421035594322,-3.2845743486820114,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.24000000000000002,0.005889357238594076,-0.6697362839426949,0.13678508519762556,-0.5978879125700884,-1.9821804137798278,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.25,-0.0008747986383042918,-0.6831135624204931,0.1308116388419367,-0.5970358285865411,-1.6224854777121482,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.26,-0.007801093987245113,-0.7021643867034055,0.12478456152089068,-0.6086136204900154,-2.180487668356032,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.27,-0.01484217766112914,-0.7060711707589585,0.11878600144895302,-0.5913372092819714,-0.6500077815882448,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.28,-0.021926406022382713,-0.7107929059464578,0.11294612780339053,-0.5768696901127959,-0.720537761258949,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.29000000000000004,-0.029011711062802384,-0.7062860216086024,0.10733677858949653,-0.5452277504025258,0.21561395105115277,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.3,-0.036085299199202586,-0.7084487239450454,0.10197189523881356,-0.5279636366558977,-0.4423601479123689,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.31,-0.043153325386529516,-0.7051731721275032,0.09682837017336876,-0.5009503766055478,0.11275778236386413,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.32,-0.05029866735273798,-0.7239110077347645,0.0917307563086216,-0.5187668694527536,-2.083011086624209,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.33,-0.05747222066457888,-0.7108162687344043,0.08676691711495366,-0.4742086972817377,1.1154112569519512,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.34,-0.06466776019007901,-0.7283065361649076,0.0819389619567299,-0.4915659546474607,-1.938304019980623,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.35000000000000003,-0.07197400723314935,-0.7329585199511416,0.07706067533009042,-0.4842846433762217,-0.6435431768101463,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.36000000000000004,-0.07933059443331493,-0.7383743443758894,0.07224275151496151,-0.4794902682032198,-0.7106906120445102,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.37,-0.08670266568860793,-0.7360553851286478,0.06754512537631463,-0.460225279684056,0.07289343786431424,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.38,-0.09412100593211621,-0.7476271831167534,0.06289688667436222,-0.4696011837191779,-1.3084845523298232,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.39,-0.10159255782682412,-0.7466983861601629,0.058275084085345874,-0.45494534554230465,-0.04848291014870876,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.4,-0.10910997445030349,-0.7567993139254935,0.05368514762977661,-0.46321864198738844,-1.1433640456443683,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.41000000000000003,-0.11670954570997126,-0.7631297020250254,0.049045653882513474,-0.4648610925166567,-0.7573375520346772,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.42000000000000004,-0.12427413453403284,-0.74980366679473,0.04458144056072744,-0.4281699032157613,1.2184188559299916,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.43,-0.13174392629241236,-0.7441688542911403,0.04040272966243741,-0.40774361614200205,0.45790178011841753,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.44,-0.13915116606188146,-0.7372927062616573,0.03643645195752265,-0.38567575602252424,0.5904123333923321,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.45,-0.1463656907024531,-0.7056264430299882,0.03293445688599084,-0.31488847955355,3.0785020323328833,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.46,-0.1534809994580834,-0.7174449816499974,0.02970200807520529,-0.33172107489418295,-1.2638848188704803,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.47000000000000003,-0.16062391085650024,-0.7111485036831898,0.026479167159128902,-0.31298093717672487,0.5542561230418315,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.48000000000000004,-0.16769796543879578,-0.7036730938369445,0.023452222395604405,-0.2925349717304064,0.6787341373058688,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.49,-0.17471440069340266,-0.6996237846706151,0.020592394331501396,-0.2795480501241073,0.3422267715974914,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.5,-0.1816427581400321,-0.6860576945403852,0.01795465018255671,-0.24811726414297774,1.2999590115938982,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.51,-0.18853590895675254,-0.692580206507114,0.015427644927831885,-0.25737890055321555,-0.7037777477748248,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.52,-0.19548673135576056,-0.697592395123033,0.012820703417076196,-0.26410871582734446,-0.5479768908296001,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.53,-0.2025394180202515,-0.7129526110444926,0.01004052601659744,-0.2920238856731378,-1.578109727156055,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.54,-0.20960436627956686,-0.7000474162149585,0.007261181564060859,-0.26396590873179904,1.2539913234804159,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.55,-0.2166153135977228,-0.7021505379428016,0.0046094823147129205,-0.26647682158158054,-0.2412460956668503,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.56,-0.22353322814491194,-0.6814424507371417,0.002158102192655331,-0.2239136756664708,2.0455262730745125,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.5700000000000001,-0.2303546265644272,-0.6828444532203837,-9.135314739872058e-05,-0.226064687760007,-0.16036776906104233,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.5800000000000001,-0.2371766060949911,-0.6815589169220975,-0.002337645453795112,-0.2232830986942502,0.1127984147877954,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.59,-0.24398869030110515,-0.6808652505302469,-0.004564260207977178,-0.22212771589288544,0.05804493404515565,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.6,-0.25084378953737574,-0.6901611853487662,-0.006881363889777337,-0.24137551958999826,-0.9367783519158479,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.61,-0.2577240350764205,-0.6858960705884292,-0.009257532719887607,-0.23395475804134094,0.423802562866916,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.62,-0.2646276505690782,-0.6948339923571382,-0.011693843626084277,-0.2533944700930322,-0.8920337232563949,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.63,-0.27151555284968554,-0.6827555497894469,-0.014116744392531633,-0.23129059000241434,1.2145412973985636,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.64,-0.27823484771065227,-0.6611124694631187,-0.016225547015607855,-0.19057080259993525,2.176512782514032,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.65,-0.2847689615992685,-0.6457175712262189,-0.01799195929099273,-0.16279336084775675,1.5565325117058149,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.66,-0.2912160844213788,-0.6437123879688231,-0.019616345829935433,-0.16214808878105777,0.2212265433989451,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
0.67,-0.29766274310365287,-0.6456244343595637,-0.021275024770222473,-0.16964958345965384,-0.16739589892300355,0.0,balance,Sliding Mode Control (SMC),measurement_noise,stress,25
