t,x,x_dot,theta,theta_dot,u,disturbance,mode,controller,scenario,suite,seed
0.0,0.05,0.0,0.13962634015954656,0.0,0.0,0.0,initial,LQR,friction_and_damping,stress,27
0.01,0.050005055019022075,0.0010083891779818263,0.13977261165805244,0.029224613914641734,-0.16833881504205228,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.02,0.05002045003520543,0.002068864623849747,0.1402109964278173,0.05843382887851872,-0.16179683120018698,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.03,0.05004670747507832,0.0031817322624834786,0.14094162671079813,0.08768482130705713,-0.1557429312194361,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.04,0.050084338274510684,0.004344389524900205,0.14196517622267857,0.11702873461827215,-0.1504653821568233,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.05,0.050133817444759504,0.005552255050239038,0.1432828096762817,0.14651264536477465,-0.14615992537398267,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.060000000000000005,0.05019556941704344,0.0067997946715069755,0.14489615281690238,0.17618169985309048,-0.14291980707690624,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.06999999999999999,0.050269963092195905,0.00808143650443033,0.14680728263530352,0.2060810139825464,-0.1407466073720477,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.08,0.05035731485480664,0.009392248855777732,0.14901873416408584,0.23625709123257818,-0.13957378896335995,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.09,0.05045789701134878,0.010728347213771576,0.15153351873284526,0.2667586975012729,-0.13929369428965704,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.09999999999999999,0.05057194911085104,0.012087063844045915,0.15435514860780408,0.29763726395867757,-0.13978123608107565,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.11,0.05069969009670613,0.013466944463093256,0.1574876639529994,0.32894694897468146,-0.14091115754225392,0.0,energy_pump,LQR,friction_and_damping,stress,27
0.12,0.050841329894440346,0.014867638764919477,0.1609356593759088,0.36074449325787583,-0.14256860907318641,0.0,energy_pump,LQR,friction_and_damping,stress,27
