t,x,x_dot,theta,theta_dot,u,disturbance,mode,controller,scenario,suite,seed
0.0,0.05,0.0,0.13962634015954656,0.0,0.0,0.0,initial,Feedback Linearization (PFL),measurement_noise,stress,23
0.01,0.050002626561683736,0.0005247873695091539,0.13976799946417362,0.028325958353661713,-0.2175175951789124,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.02,0.050017914649882596,0.002533039564891984,0.14020753934041785,0.05958619932382632,-0.06849663394908975,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.03,0.05004615924604104,0.0031171313105964977,0.1409457909635119,0.0880809872913332,-0.21191308019552174,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.04,0.05008025825542663,0.0037047683163238224,0.14196954058817868,0.1166966675026045,-0.2125660762035728,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.05,0.05012540568805212,0.005327564220622997,0.14329048063617744,0.14752935556331592,-0.11012206123090079,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.060000000000000005,0.050186092989106264,0.006813653793230406,0.1449194565060723,0.17831559770599156,-0.1258380235132465,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.06999999999999999,0.05026232757260107,0.008437895182792109,0.1468590210616183,0.20965863517214228,-0.1144922652530192,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.08,0.0503471309792422,0.008528485564055206,0.14909850790194445,0.23831288503409262,-0.27163070046344895,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.09,0.050437015618203435,0.00945485662980377,0.151634767561168,0.26902338631806133,-0.1913313958418957,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.09999999999999999,0.05053809529751502,0.01076830103376345,0.1544841951414906,0.30095766790047523,-0.15655556163198442,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.11,0.05065445328373048,0.01251133376643266,0.15765973819643264,0.33425802708880864,-0.11799130712660164,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.12,0.05078278061829469,0.0131632170933903,0.16116034674793633,0.3659839586320206,-0.23280815915820807,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.13,0.05092402718168996,0.015095820548254436,0.16499401029691718,0.4008796243665271,-0.10974474519664743,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.14,0.051086158144590096,0.017340935305376677,0.16918316218684337,0.43709408896365887,-0.08444318392465146,0.0,energy_pump,Feedback Linearization (PFL),measurement_noise,stress,23
0.15000000000000002,0.05072324517838711,-0.08989590483328036,0.17265967826322326,0.25845635571550085,-11.106745799264978,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.16,0.049316808177999404,-0.19137367807276087,0.17441171095845354,0.09210745401151801,-10.541111927481175,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.17,0.0469155442691924,-0.2888700510830988,0.17454256044538452,-0.06586207751988604,-10.148652831686759,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.18000000000000002,0.04374059443491015,-0.3461198179688326,0.17349111449755972,-0.14443805495113074,-6.102237976706599,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.19,0.03995045357313309,-0.41191138180089254,0.17156922390357288,-0.23998332260928773,-6.960666595378678,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.2,0.035530802823800264,-0.4720258388601814,0.16874637797964187,-0.3246721255976954,-6.386568091218437,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.21000000000000002,0.030556660139118706,-0.5228130425619931,0.16516612808422382,-0.39150150925313265,-5.443281960278073,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.22,0.025043925972575293,-0.5797469016281849,0.16085366938895573,-0.47114200261956996,-6.054224503215484,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.23,0.019032689773370276,-0.6225159275854805,0.15588056476839585,-0.5236639940774942,-4.621758749223986,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.24000000000000002,0.01269151546015982,-0.6457355323783476,0.15057052727484876,-0.538549257733574,-2.647622409359683,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.25,0.006089375283554777,-0.6747098364035216,0.14504952760065892,-0.5658623147135657,-3.2154795178893028,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.26,-0.0007902789588403892,-0.7012391495709226,0.13927418571613837,-0.5894283346103388,-2.9592683051290587,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.27,-0.007906521111311692,-0.7220279572872704,0.1333143607083076,-0.6027679537981391,-2.3719038195567004,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.28,-0.015128106112312113,-0.7223074589474305,0.1274184943141412,-0.5766418249877342,-0.3025067776296053,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.29000000000000004,-0.022489728181526246,-0.7500354516388068,0.12150578875246021,-0.6061248349063878,-3.0451933781960294,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.3,-0.030035388073394537,-0.7591154470575944,0.11547755671915594,-0.5997592064356279,-1.1636037043698497,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.31,-0.037646955351969005,-0.7632166909567782,0.10955644409787313,-0.5846988113936045,-0.653086115191094,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.32,-0.04532286334407372,-0.7719832646697233,0.10373367388206622,-0.5800844478057682,-1.1096123321000273,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.33,-0.05310486157182822,-0.7844346677698623,0.09791464533345584,-0.5839481456442724,-1.4678828739902352,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.34,-0.06101851815590683,-0.7983150816360267,0.09203704083186404,-0.5918007830220258,-1.6000280868540373,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.35000000000000003,-0.06898017206465129,-0.7940343797584477,0.0862559350997576,-0.5646542215162952,0.23035043621709095,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.36000000000000004,-0.07693741690520381,-0.7974324803500942,0.08066400251196715,-0.5539543074036924,-0.5277055911098683,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.37,-0.08498588587091402,-0.8122787873629086,0.07505944358862227,-0.5671728192371814,-1.663425942639548,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.38,-0.09313588767547404,-0.8177395819157275,0.06941080786342768,-0.5627767216174384,-0.71313824957149,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
0.39,-0.10128834606984591,-0.8127701965371221,0.06390456955833379,-0.5386941715653936,0.34175144862762563,0.0,balance,Feedback Linearization (PFL),measurement_noise,stress,23
